feature_no,feature_name,dataset_name,dataset_url,data_type,modality,geography,time_span,size_or_scale,license_or_access,status,fit
2,AI Crop Planning,FAOSTAT Crop and Livestock Products,https://www.fao.org/faostat/en/#data/QCL,Agricultural production,Tabular,Global,Long-term,Global crop area/yield/production,FAOSTAT terms,Verified source,Planning baselines and crop suitability
2,AI Crop Planning,Crop Recommendation Dataset,https://www.kaggle.com/datasets/atharvaingle/crop-recommendation-dataset,Crop recommendation,Tabular,General,Static,Small,Kaggle license varies,Verified landing page,Direct baseline
2,AI Crop Planning,NASA POWER,https://power.larc.nasa.gov/,Weather,Time series,Global,Historical,Large,Open/terms apply,Verified source,Climate predictors
3,Smart Irrigation,Yellow River Basin irrigation demand,https://zenodo.org/records/18628324,Irrigation demand,Raster,China,2000-2020,500m and 25 crops,CC BY 4.0,Verified source,Direct water-demand target/reference
3,Smart Irrigation,ERA5-Land,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-land,Climate/land reanalysis,Gridded time series,Global,1950-present,Very large,Open/Copernicus terms,Verified source,ET0 and irrigation predictors
3,Smart Irrigation,NASA POWER,https://power.larc.nasa.gov/,Agroclimatology,Time series,Global,Historical,Large,Open/terms apply,Verified source,ET/weather inputs
4,Crop Health AI,PlantVillage,https://github.com/spMohanty/PlantVillage-Dataset,Plant disease,Images,Global,Static,54K+ images,CC BY 4.0 reported,Verified source,Primary CNN dataset
4,Crop Health AI,New Plant Diseases Dataset,https://www.kaggle.com/datasets/vipoooool/new-plant-diseases-dataset,Plant disease,Images,General,Static,~87K images/38 classes,Kaggle license varies,Verified landing page,Larger image pool
4,Crop Health AI,PlantDoc,https://github.com/pratikkayal/PlantDoc-Dataset,Plant disease,Images + annotations,Field/in-the-wild,Static,Public research dataset,Check repository terms,Verified source,Realistic field imagery
9,Harvest & Market,India Open Government Data,https://www.data.gov.in/,Market prices and arrivals,Tabular/API,India,Historical,current varies,Large,Government open data terms,Verified source,Harvest market decisions
9,Harvest & Market,AGMARKNET,https://agmarknet.gov.in/,Mandi prices,Tabular,India,Historical/current,Large,Public portal terms,Verified source,Market matching/price inputs
9,Harvest & Market,FAOSTAT,https://www.fao.org/faostat/en/,Global agriculture/trade,Tabular,Global,Long-term,Large,FAO terms,Verified source,External market context
11,Satellite Crop Stress Prediction,Sentinel-2 Copernicus Data Space,https://dataspace.copernicus.eu/,Multispectral EO,Raster time series,Global,2015-present,Very large,EU Copernicus terms,Verified source,NDVI/NDRE stress features
11,Satellite Crop Stress Prediction,Landsat Collection 2,https://www.usgs.gov/landsat-missions/landsat-collection-2,Multispectral EO,Raster time series,Global,1980s-present,Very large,US public data,Verified source,Long historical stress monitoring
